"Year","Question","Area","Area_abbr","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Arkansas","AR","RaceEthnicity","Hispanic","52.0","42.2","61.7","52.0 (CI 42.2 - 61.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Arkansas","AR","RaceEthnicity","Multiple race, NH","27.6","17.2","41.3","27.6 (CI 17.2 - 41.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Arkansas","AR","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Arkansas","AR","RaceEthnicity","White, NH","45.0","39.0","51.1","45.0 (CI 39.0 - 51.1)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Arkansas","AR","Sex","Female","51.8","45.1","58.4","51.8 (CI 45.1 - 58.4)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Arkansas","AR","Sex","Male","38.6","29.5","48.5","38.6 (CI 29.5 - 48.5)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Arkansas","AR","Total","Total","45.1","40.5","49.8","45.1 (CI 40.5 - 49.8)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Connecticut","CT","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Connecticut","CT","RaceEthnicity","Asian, NH","22.3","16.3","29.6","22.3 (CI 16.3 - 29.6)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Connecticut","CT","RaceEthnicity","Black, NH","33.4","27.7","39.6","33.4 (CI 27.7 - 39.6)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Connecticut","CT","RaceEthnicity","Hispanic","40.6","37.3","43.9","40.6 (CI 37.3 - 43.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Connecticut","CT","RaceEthnicity","Multiple race, NH","40.5","32.3","49.2","40.5 (CI 32.3 - 49.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Connecticut","CT","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Connecticut","CT","RaceEthnicity","White, NH","33.5","30.6","36.5","33.5 (CI 30.6 - 36.5)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Connecticut","CT","Sex","Female","46.5","43.2","49.8","46.5 (CI 43.2 - 49.8)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Connecticut","CT","Sex","Male","23.6","20.9","26.5","23.6 (CI 20.9 - 26.5)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Connecticut","CT","Total","Total","35.2","33.2","37.3","35.2 (CI 33.2 - 37.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Delaware","DE","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Delaware","DE","RaceEthnicity","Asian, NH","21.6","10.4","39.6","21.6 (CI 10.4 - 39.6)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Delaware","DE","RaceEthnicity","Black, NH","29.7","23.2","37.2","29.7 (CI 23.2 - 37.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Delaware","DE","RaceEthnicity","Hispanic","38.4","31.2","46.2","38.4 (CI 31.2 - 46.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Delaware","DE","RaceEthnicity","Multiple race, NH","48.3","38.4","58.3","48.3 (CI 38.4 - 58.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Delaware","DE","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Delaware","DE","RaceEthnicity","White, NH","32.2","28.2","36.5","32.2 (CI 28.2 - 36.5)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Delaware","DE","Sex","Female","46.6","42.3","51.0","46.6 (CI 42.3 - 51.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Delaware","DE","Sex","Male","18.9","15.8","22.6","18.9 (CI 15.8 - 22.6)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Delaware","DE","Total","Total","32.9","29.3","36.7","32.9 (CI 29.3 - 36.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Hawaii","HI","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Hawaii","HI","RaceEthnicity","Asian, NH","38.2","33.4","43.3","38.2 (CI 33.4 - 43.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Hawaii","HI","RaceEthnicity","Black, NH","37.1","24.2","52.2","37.1 (CI 24.2 - 52.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Hawaii","HI","RaceEthnicity","Hispanic","42.0","36.7","47.5","42.0 (CI 36.7 - 47.5)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Hawaii","HI","RaceEthnicity","Multiple race, NH","35.1","30.5","40.0","35.1 (CI 30.5 - 40.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Hawaii","HI","RaceEthnicity","NHOPI, NH","31.6","28.4","34.9","31.6 (CI 28.4 - 34.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Hawaii","HI","RaceEthnicity","White, NH","28.8","23.2","35.2","28.8 (CI 23.2 - 35.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Hawaii","HI","Sex","Female","46.2","43.2","49.2","46.2 (CI 43.2 - 49.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Hawaii","HI","Sex","Male","24.2","21.7","26.9","24.2 (CI 21.7 - 26.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Hawaii","HI","Total","Total","34.9","32.5","37.3","34.9 (CI 32.5 - 37.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Illinois","IL","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Illinois","IL","RaceEthnicity","Asian, NH","33.7","24.4","44.4","33.7 (CI 24.4 - 44.4)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Illinois","IL","RaceEthnicity","Black, NH","42.6","35.8","49.6","42.6 (CI 35.8 - 49.6)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Illinois","IL","RaceEthnicity","Hispanic","42.6","39.1","46.3","42.6 (CI 39.1 - 46.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Illinois","IL","RaceEthnicity","Multiple race, NH","58.3","41.7","73.2","58.3 (CI 41.7 - 73.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Illinois","IL","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Illinois","IL","RaceEthnicity","White, NH","33.4","28.3","39.0","33.4 (CI 28.3 - 39.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Illinois","IL","Sex","Female","51.6","46.1","57.0","51.6 (CI 46.1 - 57.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Illinois","IL","Sex","Male","25.0","21.2","29.2","25.0 (CI 21.2 - 29.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Illinois","IL","Total","Total","38.2","34.7","41.9","38.2 (CI 34.7 - 41.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Indiana","IN","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Indiana","IN","RaceEthnicity","Asian, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Indiana","IN","RaceEthnicity","Black, NH","46.7","34.6","59.1","46.7 (CI 34.6 - 59.1)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Indiana","IN","RaceEthnicity","Hispanic","49.0","41.4","56.7","49.0 (CI 41.4 - 56.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Indiana","IN","RaceEthnicity","Multiple race, NH","59.5","42.1","74.9","59.5 (CI 42.1 - 74.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Indiana","IN","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Indiana","IN","RaceEthnicity","White, NH","46.4","41.6","51.4","46.4 (CI 41.6 - 51.4)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Indiana","IN","Sex","Female","60.1","54.8","65.2","60.1 (CI 54.8 - 65.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Indiana","IN","Sex","Male","33.5","27.7","39.9","33.5 (CI 27.7 - 39.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Indiana","IN","Total","Total","47.0","43.2","50.9","47.0 (CI 43.2 - 50.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Kentucky","KY","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Kentucky","KY","RaceEthnicity","Asian, NH","47.5","32.1","63.3","47.5 (CI 32.1 - 63.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Kentucky","KY","RaceEthnicity","Black, NH","43.4","33.0","54.4","43.4 (CI 33.0 - 54.4)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Kentucky","KY","RaceEthnicity","Hispanic","47.1","38.3","56.0","47.1 (CI 38.3 - 56.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Kentucky","KY","RaceEthnicity","Multiple race, NH","55.8","45.7","65.5","55.8 (CI 45.7 - 65.5)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Kentucky","KY","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Kentucky","KY","RaceEthnicity","White, NH","39.9","36.9","43.0","39.9 (CI 36.9 - 43.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Kentucky","KY","Sex","Female","52.0","49.1","54.9","52.0 (CI 49.1 - 54.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Kentucky","KY","Sex","Male","31.6","28.6","34.7","31.6 (CI 28.6 - 34.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Kentucky","KY","Total","Total","41.6","38.9","44.2","41.6 (CI 38.9 - 44.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maine","ME","RaceEthnicity","AI/AN, NH","53.2","39.7","66.3","53.2 (CI 39.7 - 66.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maine","ME","RaceEthnicity","Asian, NH","39.1","28.3","51.2","39.1 (CI 28.3 - 51.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maine","ME","RaceEthnicity","Black, NH","32.6","27.5","38.2","32.6 (CI 27.5 - 38.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maine","ME","RaceEthnicity","Hispanic","48.0","41.2","54.8","48.0 (CI 41.2 - 54.8)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maine","ME","RaceEthnicity","Multiple race, NH","46.2","40.6","51.9","46.2 (CI 40.6 - 51.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maine","ME","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maine","ME","RaceEthnicity","White, NH","36.1","34.2","38.1","36.1 (CI 34.2 - 38.1)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maine","ME","Sex","Female","48.1","45.4","50.9","48.1 (CI 45.4 - 50.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maine","ME","Sex","Male","26.2","24.5","28.0","26.2 (CI 24.5 - 28.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maine","ME","Total","Total","36.9","35.0","38.9","36.9 (CI 35.0 - 38.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maryland","MD","RaceEthnicity","AI/AN, NH","35.3","24.9","47.3","35.3 (CI 24.9 - 47.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maryland","MD","RaceEthnicity","Asian, NH","28.8","25.5","32.2","28.8 (CI 25.5 - 32.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maryland","MD","RaceEthnicity","Black, NH","36.9","35.2","38.7","36.9 (CI 35.2 - 38.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maryland","MD","RaceEthnicity","Hispanic","39.1","37.1","41.2","39.1 (CI 37.1 - 41.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maryland","MD","RaceEthnicity","Multiple race, NH","45.1","42.3","48.0","45.1 (CI 42.3 - 48.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maryland","MD","RaceEthnicity","NHOPI, NH","36.9","21.3","55.9","36.9 (CI 21.3 - 55.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maryland","MD","RaceEthnicity","White, NH","34.4","33.3","35.6","34.4 (CI 33.3 - 35.6)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maryland","MD","Sex","Female","48.8","47.6","50.0","48.8 (CI 47.6 - 50.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maryland","MD","Sex","Male","24.3","23.3","25.3","24.3 (CI 23.3 - 25.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Maryland","MD","Total","Total","36.3","35.5","37.2","36.3 (CI 35.5 - 37.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Massachusetts","MA","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Massachusetts","MA","RaceEthnicity","Asian, NH","38.5","27.9","50.3","38.5 (CI 27.9 - 50.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Massachusetts","MA","RaceEthnicity","Black, NH","44.7","38.8","50.8","44.7 (CI 38.8 - 50.8)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Massachusetts","MA","RaceEthnicity","Hispanic","33.1","28.8","37.7","33.1 (CI 28.8 - 37.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Massachusetts","MA","RaceEthnicity","Multiple race, NH","41.4","30.5","53.2","41.4 (CI 30.5 - 53.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Massachusetts","MA","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Massachusetts","MA","RaceEthnicity","White, NH","31.5","28.4","34.7","31.5 (CI 28.4 - 34.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Massachusetts","MA","Sex","Female","45.3","41.8","48.7","45.3 (CI 41.8 - 48.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Massachusetts","MA","Sex","Male","23.4","20.3","26.8","23.4 (CI 20.3 - 26.8)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Massachusetts","MA","Total","Total","34.0","31.2","36.9","34.0 (CI 31.2 - 36.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Michigan","MI","RaceEthnicity","AI/AN, NH","56.3","45.0","67.0","56.3 (CI 45.0 - 67.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Michigan","MI","RaceEthnicity","Asian, NH","28.2","14.4","48.0","28.2 (CI 14.4 - 48.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Michigan","MI","RaceEthnicity","Black, NH","47.6","42.7","52.6","47.6 (CI 42.7 - 52.6)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Michigan","MI","RaceEthnicity","Hispanic","47.9","41.8","54.1","47.9 (CI 41.8 - 54.1)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Michigan","MI","RaceEthnicity","Multiple race, NH","46.5","34.1","59.3","46.5 (CI 34.1 - 59.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Michigan","MI","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Michigan","MI","RaceEthnicity","White, NH","41.0","37.3","44.7","41.0 (CI 37.3 - 44.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Michigan","MI","Sex","Female","54.2","49.8","58.4","54.2 (CI 49.8 - 58.4)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Michigan","MI","Sex","Male","30.6","26.3","35.2","30.6 (CI 26.3 - 35.2)"
