STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS,DRUNK_DR
43,Puerto Rico,430011,1,1,0,0,0,1,1,17,BARCELONETA (17),120,BARCELONETA,25,25,1,January,2020,7,Saturday,0,0:00am-0:59am,25,25,1,This section IS ON the NHS,2,U.S. Highway,US-140,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,646,646,18.443125,18.443125,-66.56001111,-66.56001111,0,No Special Jurisdiction,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,2,Rain,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
43,Puerto Rico,430012,1,1,0,0,0,1,1,65,HATILLO (65),470,HATILLO,27,27,1,January,2020,2,Monday,0,0:00am-0:59am,15,15,1,This section IS ON the NHS,3,State Highway,SR-129,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,153,153,18.36611111,18.36611111,-66.80320278,-66.80320278,0,No Special Jurisdiction,35,Embankment,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,3,Dark - Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430013,1,1,0,0,0,1,1,127,SAN JUAN (127),930,SAN JUAN,2,2,2,February,2020,1,Sunday,17,5:00pm-5:59pm,25,25,1,This section IS ON the NHS,4,County Road,CR-1,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,171,171,18.36530833,18.36530833,-66.08301944,-66.08301944,0,No Special Jurisdiction,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,6,Off Roadway-Location Unknown,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430014,2,2,0,0,0,2,2,31,CAROLINA (31),200,CAROLINA,15,15,2,February,2020,7,Saturday,7,7:00am-7:59am,15,15,1,This section IS ON the NHS,1,Interstate,I-26,,2,Urban,1,Interstate,1,State Highway Agency,150,150,18.39516111,18.39516111,-65.97890833,-65.97890833,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0,Not Applicable,7,7:00am-7:59am,30,30,7,7:00am-7:59am,30,30,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
43,Puerto Rico,430015,1,1,0,0,0,1,1,3,AGUADA (3),20,AGUADA,16,16,2,February,2020,1,Sunday,2,2:00am-2:59am,45,45,1,This section IS ON the NHS,1,Interstate,I-2,,2,Urban,1,Interstate,1,State Highway Agency,1380,1380,18.33764444,18.33764444,-67.15878056,-67.15878056,0,No Special Jurisdiction,25,Concrete Traffic Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,2,Rain,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
43,Puerto Rico,430016,1,1,0,1,1,1,1,123,SALINAS (123),900,"SALINAS, SALINAS",16,16,2,February,2020,1,Sunday,22,10:00pm-10:59pm,0,0,0,This section IS NOT on the NHS,4,County Road,CR-712,,1,Rural,6,Minor Collector,2,County Highway Agency,3,3,18.03632778,18.03632778,-66.23768056,-66.23768056,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430017,1,1,0,0,0,1,1,1,ADJUNTAS (1),10,ADJUNTAS,16,16,2,February,2020,1,Sunday,15,3:00pm-3:59pm,35,35,1,This section IS ON the NHS,2,U.S. Highway,US-5516,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,15,15,18.17464722,18.17464722,-66.72504722,-66.72504722,0,No Special Jurisdiction,25,Concrete Traffic Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430018,2,2,0,0,0,2,2,127,SAN JUAN (127),930,SAN JUAN,28,28,2,February,2020,6,Friday,11,11:00am-11:59am,15,15,1,This section IS ON the NHS,4,County Road,CR-1,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,180,180,18.35850556,18.35850556,-66.08734444,-66.08734444,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
43,Puerto Rico,430019,4,1,3,0,3,1,4,29,CANÓVANAS (29),190,"CANOVANAS, CANOVANAS",1,1,3,March,2020,1,Sunday,1,1:00am-1:59am,9,9,1,This section IS ON the NHS,4,County Road,CR-3,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,199,199,18.37821389,18.37821389,-65.86864722,-65.86864722,0,No Special Jurisdiction,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,6,Off Roadway-Location Unknown,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430020,2,2,0,0,0,3,3,127,SAN JUAN (127),930,SAN JUAN,2,2,3,March,2020,2,Monday,5,5:00am-5:59am,28,28,1,This section IS ON the NHS,4,County Road,CR-1,INT PR 21,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,0,None,18.39164722,18.39164722,-66.061175,-66.061175,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430021,1,1,0,1,1,1,1,21,BAYAMÓN (21),140,"BAYAMON, BAYAMON",6,6,3,March,2020,6,Friday,3,3:00am-3:59am,30,30,1,This section IS ON the NHS,2,U.S. Highway,US-167,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,90,90,18.30480833,18.30480833,-66.21066667,-66.21066667,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430022,1,1,0,0,0,1,1,87,LOÍZA (87),600,"LOIZA, LOIZA",7,7,3,March,2020,7,Saturday,21,9:00pm-9:59pm,29,29,0,This section IS NOT on the NHS,4,County Road,CR-187,,1,Rural,4,Minor Arterial,2,County Highway Agency,208,208,88.8888,88.8888,888.8888,888.8888,0,No Special Jurisdiction,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
43,Puerto Rico,430023,1,1,0,1,1,2,2,5,AGUADILLA (5),30,AGUADILLA,8,8,3,March,2020,1,Sunday,17,5:00pm-5:59pm,40,40,1,This section IS ON the NHS,4,County Road,CR-110,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,315,315,18.45923056,18.45923056,-67.15068333,-67.15068333,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430024,4,4,0,0,0,6,6,141,UTUADO (141),1000,UTUADO,12,12,3,March,2020,5,Thursday,18,6:00pm-6:59pm,20,20,1,This section IS ON the NHS,4,County Road,CR-10,,1,Rural,3,Principal Arterial - Other,2,County Highway Agency,383,383,88.8888,88.8888,888.8888,888.8888,0,No Special Jurisdiction,25,Concrete Traffic Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,3,On Median,5,Dusk,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430025,2,2,0,0,0,2,2,35,CAYEY (35),230,CAYEY,12,12,3,March,2020,5,Thursday,21,9:00pm-9:59pm,51,51,0,This section IS NOT on the NHS,2,U.S. Highway,US-14,,2,Urban,4,Minor Arterial,2,County Highway Agency,689,689,18.11875,18.11875,-66.17597778,-66.17597778,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430026,2,2,0,0,0,2,2,127,SAN JUAN (127),930,SAN JUAN,13,13,3,March,2020,6,Friday,0,0:00am-0:59am,20,20,1,This section IS ON the NHS,4,County Road,CR-1,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,0,None,18.39506944,18.39506944,-66.05424444,-66.05424444,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430027,1,1,0,1,1,1,1,31,CAROLINA (31),200,CAROLINA,14,14,3,March,2020,7,Saturday,1,1:00am-1:59am,5,5,1,This section IS ON the NHS,4,County Road,CR-3,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,104,104,18.37643611,18.37643611,-65.95620556,-65.95620556,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430028,2,2,0,0,0,3,3,137,TOA BAJA (137),980,TOA BAJA,14,14,3,March,2020,7,Saturday,3,3:00am-3:59am,15,15,1,This section IS ON the NHS,4,County Road,CR-165,INT PR 867,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,174,174,18.44478889,18.44478889,-66.25115833,-66.25115833,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
43,Puerto Rico,430029,2,2,0,0,0,4,4,139,TRUJILLO ALTO (139),990,TRUJILLO ALTO,16,16,3,March,2020,2,Monday,13,1:00pm-1:59pm,20,20,0,This section IS NOT on the NHS,2,U.S. Highway,US-846,,2,Urban,4,Minor Arterial,2,County Highway Agency,1,1,18.37886944,18.37886944,-66.02601111,-66.02601111,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
43,Puerto Rico,430030,1,1,0,0,0,1,1,127,SAN JUAN (127),930,SAN JUAN,21,21,3,March,2020,7,Saturday,6,6:00am-6:59am,12,12,1,This section IS ON the NHS,4,County Road,CR-177,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,74,74,18.36898889,18.36898889,-66.0835,-66.0835,0,No Special Jurisdiction,25,Concrete Traffic Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,3,On Median,1,Daylight,2,Rain,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430031,2,1,1,1,1,1,1,21,BAYAMÓN (21),140,"BAYAMON, BAYAMON",27,27,3,March,2020,6,Friday,10,10:00am-10:59am,57,57,1,This section IS ON the NHS,4,County Road,CR-167,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,149,149,18.34275278,18.34275278,-66.19617778,-66.19617778,0,No Special Jurisdiction,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430032,1,1,0,1,1,1,1,13,ARECIBO (13),90,ARECIBO,27,27,3,March,2020,6,Friday,23,11:00pm-11:59pm,7,7,0,This section IS NOT on the NHS,4,County Road,CR-LOS OLMOS AVE,,1,Rural,4,Minor Arterial,2,County Highway Agency,0,None,18.43213333,18.43213333,-66.67196944,-66.67196944,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430033,1,1,0,0,0,4,4,119,RÍO GRANDE (119),820,RIO GRANDE,28,28,3,March,2020,7,Saturday,13,1:00pm-1:59pm,9,9,1,This section IS ON the NHS,1,Interstate,I-3,,2,Urban,1,Interstate,1,State Highway Agency,279,279,18.37826667,18.37826667,-65.79460556,-65.79460556,0,No Special Jurisdiction,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
43,Puerto Rico,430034,2,2,0,0,0,3,3,25,CAGUAS (25),170,CAGUAS,11,11,4,April,2020,7,Saturday,16,4:00pm-4:59pm,8,8,1,This section IS ON the NHS,3,State Highway,SR-34 DEGETAU AVE,INT LUIS MUNOZ MARIN AVE,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,0,None,18.21965278,18.21965278,-66.03173333,-66.03173333,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
